"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"1","AK0010100","Anchorage Police Department","Municipality","Alaska","AK","Pacific","West","Region IV","ANCHORAGE","FALSE","61.17425","-149.284329","NULL"
"2","AK0010200","Fairbanks Police Department","Borough","Alaska","AK","Pacific","West","Region IV","FAIRBANKS NORTH STAR","FALSE","64.83945","-147.71942","NULL"
"3","AK0010300","Juneau Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","JUNEAU","FALSE","58.356556","-134.50731","NULL"
"4","AK0010400","Ketchikan Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KETCHIKAN GATEWAY","FALSE","55.449938","-131.106685","NULL"
"5","AK0010500","Kodiak Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KODIAK ISLAND","FALSE","57.8049","-152.37332","NULL"
"6","AK0010600","Nome Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","NOME","FALSE","64.783686","-164.188912","NULL"
"7","AK0010700","Petersburg Police Department","Borough","Alaska","AK","Pacific","West","Region IV","PETERSBURG","FALSE","55.415683","-132.875734","NULL"
"8","AK0010800","Seward Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.366668","-152.322283","NULL"
"9","AK0010900","Sitka Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","SITKA","FALSE","57.052124","-135.33418","NULL"
"10","AK0011000","Skagway Police Department","Municipality","Alaska","AK","Pacific","West","Region IV","SKAGWAY","FALSE","59.575097","-135.335418","NULL"
"11","AK0011100","Wrangell Police Department","City and Borough","Alaska","AK","Pacific","West","Region IV","WRANGELL","FALSE","56.279121","-132.040325","NULL"
"12","AK0011200","Valdez Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","VALDEZ-CORDOVA","FALSE","61.34984","-145.023141","NULL"
"13","AK0011300","Bethel Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","BETHEL","FALSE","60.928916","-160.15335","NULL"
"14","AK0011400","Cordova Police Department","Census Area","Alaska","AK","Pacific","West","Region IV","VALDEZ-CORDOVA","FALSE","61.34984","-145.023141","NULL"
"15","AK0011600","Kotzebue Police Department","Borough","Alaska","AK","Pacific","West","Region IV","NORTHWEST ARCTIC","FALSE","67.005066","-160.021086","NULL"
"16","AK0011700","Palmer Police Department","Borough","Alaska","AK","Pacific","West","Region IV","MATANUSKA-SUSITNA","FALSE","61.602676","-149.11183","NULL"
"17","AK0011800","North Slope Borough Police Department","Borough","Alaska","AK","Pacific","West","Region IV","NORTH SLOPE","FALSE","69.449343","-153.47283","NULL"
"18","AK0011900","Seldovia Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.366668","-152.322283","NULL"
"19","AK0012000","Soldotna Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.481678","-151.07265","NULL"
"20","AK0012100","Haines Police Department","Borough","Alaska","AK","Pacific","West","Region IV","HAINES","FALSE","59.098771","-135.576936","NULL"
"21","AK0012200","Homer Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","59.64873","-151.52992","NULL"
"22","AK0012300","Kenai Police Department","Borough","Alaska","AK","Pacific","West","Region IV","KENAI PENINSULA","FALSE","60.559402","-151.2507","NULL"
