State,City,Population,"Violent
crime","Property
crime"
AL,Abbeville,2645,11,63
AL,Adamsville,4481,19,321
AL,Addison,744,1,25
AL,Alabaster,31170,44,640
AL,Alexander City,14692,119,661
AL,Aliceville,2419,7,48
AL,Andalusia,9079,34,491
AL,Anniston,22648,461,1988
AL,Arab,8295,32,640
AL,Ardmore,1304,2,31
AL,Arley,353,3,27
AL,Ashford,2177,2,54
AL,Ashland,1926,9,63
AL,Ashville,2239,10,88
AL,Athens,23972,16,755
AL,Atmore,10099,52,201
AL,Auburn,57970,115,1930
AL,Bay Minette,8398,47,272
AL,Bear Creek,1059,4,12
AL,Bessemer,27240,527,3199
AL,Birmingham,212001,2852,14157
AL,Blountsville,1697,6,71
AL,Brent,4894,16,90
AL,Brewton,5331,47,258
AL,Bridgeport,2389,13,6
AL,Brilliant,892,4,23
AL,Butler,1850,6,40
AL,Camp Hill,995,22,29
AL,Carbon Hill,1988,14,121
AL,Cedar Bluff,1814,20,191
AL,Centre,3603,21,254
AL,Centreville,2708,0,36
AL,Chickasaw,6001,53,401
AL,Childersburg,5111,1,104
AL,Citronelle,3881,22,169
AL,Clanton,8682,52,597
AL,Clayton,2967,8,41
AL,Coaling,1677,10,92
AL,Collinsville,1978,6,65
AL,Cordova,2050,15,48
AL,Creola,1924,10,56
AL,Crossville,1850,0,25
AL,Cullman,14881,31,633
AL,Dadeville,3186,17,151
AL,Daleville,5260,17,103
AL,Daphne,23204,31,526
AL,Dauphin Island,1236,4,65
AL,Decatur,56091,149,2553
AL,Demopolis,7240,47,293
AL,Dora,1992,21,127
AL,Dothan,67811,334,2502
AL,Double Springs,1064,5,27
AL,Douglas,762,1,61
AL,East Brewton,2437,22,60
AL,Eclectic,1015,11,60
AL,Elba,3955,29,157
AL,Enterprise,28145,112,774
AL,Eufaula,12896,78,496
AL,Eutaw,2871,46,77
AL,Evergreen,3843,37,223
AL,Fairfield,11003,181,1007
AL,Fairhope,16847,40,678
AL,Fayette,4530,11,66
AL,Flomaton,1423,9,49
AL,Florala,1988,10,33
AL,Florence,39481,207,1807
AL,Foley,15615,55,789
AL,Fyffe,1025,3,19
AL,Gadsden,36610,424,2934
AL,Gardendale,13830,53,664
AL,Geneva,4501,13,150
AL,Georgiana,1666,12,57
AL,Glencoe,5222,13,107
AL,Grant,915,4,51
AL,Greenville,7820,0,0
AL,Guin,2348,16,58
AL,Gulf Shores,10233,51,649
AL,Guntersville,8388,48,603
AL,Gurley,794,4,26
AL,Hackleburg,1498,3,29
AL,Hamilton,6546,12,124
AL,Hanceville,3173,16,101
AL,Hartford,2653,13,84
AL,Hartselle,14563,19,360
AL,Headland,4694,7,91
AL,Helena,17306,18,169
AL,Henagar,2343,3,46
AL,Hokes Bluff,4361,3,35
AL,Hoover,84139,74,2596
AL,Hueytown,15956,26,646
AL,Huntsville,184738,1507,9216
AL,Ider,718,5,38
AL,Irondale,12452,46,463
AL,Jackson,5038,34,208
AL,Jacksonville,12385,35,589
AL,Jasper,14185,113,981
AL,Jemison,2601,13,131
AL,Kinsey,2228,2,25
AL,Lafayette,2982,19,70
AL,Lake View,2064,6,16
AL,Lanett,6424,75,473
AL,Leeds,11914,57,540
AL,Leesburg,1020,10,61
AL,Leighton,724,8,27
AL,Level Plains,2092,11,40
AL,Lincoln,6365,31,374
AL,Linden,2036,16,47
AL,Livingston,3461,18,98
AL,Loxley,1694,17,170
AL,Luverne,2863,11,68
AL,Madison,45540,133,1200
AL,Maplesville,706,4,36
AL,Margaret,4484,4,28
AL,McIntosh,228,10,22
AL,Midfield,5310,47,281
AL,Midland City,2476,16,81
AL,Millbrook,15042,54,726
AL,Mobile4,250557,1541,13011
AL,Monroeville,6327,78,468
AL,Montevallo,6503,15,219
AL,Moody,12278,21,236
AL,Morris,1897,5,32
AL,Moulton,3397,5,82
AL,Moundville,2445,3,67
AL,Mountain Brook,20354,12,294
AL,Mount Vernon,1561,28,98
AL,Muscle Shoals,13431,58,693
AL,Napier Field,353,4,26
AL,New Brockton,1166,5,39
AL,New Hope,2799,17,52
AL,Newton,1509,3,36
AL,Northport,24308,114,728
AL,Notasulga,906,7,36
AL,Odenville,3642,21,63
AL,Oneonta,6661,21,209
AL,Opelika,28302,165,1509
AL,Owens Crossroads,1766,1,21
AL,Oxford,21261,62,1130
AL,Ozark,14897,86,878
AL,Pelham,22199,26,431
AL,Pell City,13263,66,554
AL,Phenix City,37266,211,2404
AL,Piedmont,4777,20,217
AL,Pine Hill,945,6,15
AL,Pleasant Grove,10463,19,140
AL,Powell,955,8,28
AL,Prattville,35154,86,1284
AL,Priceville,2878,6,27
AL,Prichard,22350,469,1507
AL,Ragland,1662,5,30
AL,Rainbow City,9683,14,266
AL,Rainsville,4989,15,130
AL,Red Bay,3151,10,46
AL,Reform,1666,6,51
AL,Riverside,2269,8,90
AL,Robertsdale,5629,28,244
AL,Russellville,9844,42,345
AL,Samson,1940,19,107
AL,Saraland,13505,37,586
AL,Sardis City,1755,0,41
AL,Satsuma,6125,15,118
AL,Scottsboro,14791,64,605
AL,Selma,20094,245,1630
AL,Sheffield,9012,80,464
AL,Silverhill,736,0,41
AL,Slocomb,1993,4,41
AL,Snead,845,3,55
AL,Southside,8513,10,156
AL,Springville,4175,5,110
AL,Sulligent,1879,4,50
AL,Sumiton,2461,14,152
AL,Summerdale,938,9,76
AL,Sylacauga,12762,55,621
AL,Sylvania,1858,1,23
AL,Talladega,16033,129,1304
AL,Tallassee5,4830,NA,296
AL,Tarrant,6323,18,416
AL,Taylor,2425,1,14
AL,Thorsby,2008,3,11
AL,Town Creek,1080,7,29
AL,Trinity,2148,5,44
AL,Troy,18329,132,907
AL,Tuscaloosa,94126,434,4512
AL,Tuscumbia,8398,47,373
AL,Tuskegee,9341,82,552
AL,Valley,9468,79,622
AL,Valley Head,554,1,17
AL,Vance,1543,4,41
AL,Vestavia Hills,34103,17,544
AL,Warrior,3230,9,71
AL,Weaver,3079,24,115
AL,Wedowee,810,9,30
AL,Wetumpka,7239,40,409
AL,Winfield,4672,23,125
AL,Woodstock,1446,2,32
AL,York,2436,21,61
AK,Anchorage,299455,2435,12032
AK,Bethel,6463,56,149
AK,Bristol Bay Borough,985,1,9
AK,Cordova,2273,9,35
AK,Craig,1263,27,26
AK,Dillingham,2438,47,42
AK,Fairbanks,32505,213,1269
AK,Haines,2561,7,62
AK,Homer,5309,63,238
AK,Juneau,32946,134,1063
AK,Kenai,7422,30,301
AK,Ketchikan,8305,32,278
AK,Kodiak,6564,87,290
AK,Kotzebue,3375,85,168
AK,Nome,3805,34,56
AK,North Pole,2236,19,79
AK,North Slope Borough,9674,79,121
AK,Palmer,6453,20,163
AK,Petersburg,2981,6,88
AK,Seward,2749,6,115
AK,Sitka,9093,7,207
AK,Skagway,956,3,10
AK,Soldotna,4418,19,154
AK,Unalaska,4340,15,74
AK,Valdez,4032,16,97
AK,Wasilla,8645,42,627
AK,Wrangell,2414,6,23
AZ,Bisbee,5463,74,217
AZ,Buckeye,55710,49,1328
AZ,Bullhead City,39577,76,1716
AZ,Camp Verde,10942,33,259
AZ,Casa Grande,50058,229,1975
AZ,Chandler,248718,575,5900
AZ,Chino Valley,10850,50,207
AZ,Clarkdale,4090,5,51
AZ,Clifton,3499,11,42
AZ,Coolidge,11820,66,662
AZ,Cottonwood,11285,44,401
AZ,Eagar,5034,15,106
AZ,El Mirage,32837,86,1173
AZ,Eloy,17602,72,506
AZ,Flagstaff,67963,246,2869
AZ,Florence,26682,24,198
AZ,Fredonia,1318,3,12
AZ,Gilbert,225232,193,3472
AZ,Glendale,234006,905,13626
AZ,Globe,7414,77,488
AZ,Goodyear,71048,94,1716
AZ,Holbrook,4988,49,362
AZ,Huachuca City,1811,0,13
AZ,Jerome,444,3,21
AZ,Kearny,2010,8,30
AZ,Kingman,28400,128,1621
AZ,Lake Havasu City,52891,87,1252
AZ,Mammoth,1473,5,26
AZ,Marana,37469,37,1056
AZ,Maricopa,44871,62,819
AZ,Mesa,456155,1807,12916
AZ,Miami,1793,19,82
AZ,Nogales,20736,39,523
AZ,Page,7330,59,467
AZ,Paradise Valley,13286,13,215
AZ,Payson,15192,56,483
AZ,Peoria,161641,254,3830
AZ,Phoenix,1502139,9492,60085
AZ,Pima,2427,4,56
AZ,Pinetop-Lakeside,4266,34,193
AZ,Prescott,40752,124,1085
AZ,Prescott Valley,39209,82,751
AZ,Quartzsite6,3648,16,93
AZ,Sahuarita,26535,17,349
AZ,San Luis,28231,37,539
AZ,Scottsdale,225523,337,5766
AZ,Sedona,10036,20,217
AZ,Show Low,10732,125,577
AZ,Snowflake-Taylor,9651,21,109
AZ,Somerton,15014,15,187
AZ,South Tucson,5694,150,849
AZ,Springerville,2009,9,60
AZ,St. Johns,3584,19,127
AZ,Surprise,122497,149,2120
AZ,Tempe,168501,831,7876
AZ,Thatcher,4999,1,144
AZ,Tolleson,6754,37,676
AZ,Tucson,525486,3368,34587
AZ,Wickenburg,6583,15,197
AZ,Willcox,3678,11,263
AZ,Williams,3019,12,97
AZ,Winslow,9326,95,385
AZ,Yuma,96014,587,3375
AR,Arkadelphia,10829,40,358
AR,Ashdown,4616,11,173
AR,Ash Flat,1069,1,19
AR,Atkins,3036,2,99
AR,Bald Knob,2931,3,152
AR,Barling,4733,19,100
AR,Bay,1825,1,33
AR,Bearden,930,4,32
AR,Beebe,7744,19,314
AR,Bella Vista,27606,26,133
AR,Benton,32548,107,1370
AR,Bentonville,39132,61,686
AR,Berryville,5417,7,285
AR,Blytheville,15220,235,1281
AR,Booneville,3922,4,165
AR,Bradford,768,3,27
AR,Brinkley,3024,13,74
AR,Brookland,1863,2,33
AR,Bryant,19366,12,905
AR,Bull Shoals,1975,8,28
AR,Cabot,24695,55,923
AR,Caddo Valley,622,1,38
AR,Camden,11726,63,484
AR,Cammack Village,760,0,18
AR,Caraway,1279,6,9
AR,Carlisle,2210,12,61
AR,Cave City,1881,4,46
AR,Cave Springs,2060,5,26
AR,Centerton,10377,19,63
AR,Charleston,2532,11,31
AR,Cherokee Village,4613,8,96
AR,Clarendon,1576,2,19
AR,Clarksville,9319,15,374
AR,Clinton,2561,3,58
AR,Conway,64060,239,2774
AR,Corning,3254,13,40
AR,Cotter,954,2,14
AR,Crossett,5383,27,338
AR,Danville,2370,3,15
AR,Dardanelle,4672,21,234
AR,Decatur,1766,9,24
AR,De Queen,6636,11,204
AR,Dermott,2775,3,28
AR,Des Arc,1657,0,12
AR,De Witt,3259,20,133
AR,Diaz,1274,6,35
AR,Dover,1393,2,46
AR,Dumas,4481,11,81
AR,Earle,2342,4,87
AR,El Dorado,18375,164,982
AR,England,2806,22,97
AR,Eudora,2169,8,94
AR,Fairfield Bay,2295,5,48
AR,Farmington,6230,22,84
AR,Fayetteville,77900,339,3171
AR,Flippin,1343,3,78
AR,Fordyce,4218,16,212
AR,Forrest City,15184,135,1080
AR,Fort Smith,87821,606,4621
AR,Gassville,2048,1,42
AR,Gentry,3341,6,28
AR,Glenwood,2218,7,61
AR,Gosnell,3455,25,77
AR,Gravette,2409,4,50
AR,Greenbrier,5082,0,8
AR,Green Forest,2768,14,80
AR,Greenland,1312,6,21
AR,Greenwood,9223,19,56
AR,Greers Ferry,881,3,23
AR,Gurdon,2184,12,45
AR,Hamburg,2828,22,50
AR,Hampton,1306,5,33
AR,Hardy,763,2,46
AR,Harrisburg,2317,10,80
AR,Harrison,13234,71,692
AR,Heber Springs,7146,18,323
AR,Helena-West Helena,11591,148,846
AR,Highfill,620,0,7
AR,Highland,1031,1,6
AR,Hope,10020,82,547
AR,Hot Springs,35551,140,3181
AR,Hoxie,2690,6,20
AR,Jacksonville,28739,217,1443
AR,Jonesboro,71114,313,2995
AR,Kensett,1682,3,51
AR,Lake City,2199,3,8
AR,Lakeview,727,1,12
AR,Lake Village,2482,31,113
AR,Lamar,1678,3,37
AR,Leachville,1941,5,18
AR,Lepanto,1861,10,60
AR,Lincoln,2345,3,23
AR,Little Rock,197399,2777,15529
AR,Lonoke,4244,32,216
AR,Lowell,7832,6,152
