State,Agency,Total
CA,Galt,1
CA,Riverside,1
CA,San Bernardino County,1
CA,Santa Cruz,2
FL,Charlotte County,1
FL,St. Lucie County,1
IL,Cook County,1
IN,Indianapolis,1
IA,Rockwell City,1
KY,Bardstown,1
LA,Chitimacha Tribal Police,1
MD,Baltimore County Police,1
MA,Massachusetts Institute of Technology Police,1
MI,"State Police, Hart",1
MS,Jackson,1
MS,Tupelo,1
NY,Buffalo,1
TX,Burleson County,1
TX,Hood County,1
TX,Killeen,1
TX,San Antonio,1
TX,Texarkana,1
TX,Upton County,1
UT,Draper City,1
VA,"State Police, Dinwiddie County",1
WV,Mingo County,1
