FSTATE,FCOUNTY,FPLACE,FIPS_ST,FIPS_COUNTY,FIPS,ORI9,ORI7,NAME,UA,STATENAME,COUNTYNAME,UANAME,PARTOF,AGCYTYPE,SUBTYPE1,SUBTYPE2,GOVID,LG_NAME,ADDRESS_NAME,ADDRESS_STR1,ADDRESS_STR2,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,REPORT_FLAG,CSLLEA08_ID,LEMAS_ID,U_STATENO,U_CNTY,U_POPGRP,U_TPOP,LG_POPULATION,CSLLEA_SUB,COMMENT,INTPTLAT,INTPTLONG,CONGDIST1,CONGDIST2_18,DISTNAME,SOURCE_CSLLEA2008,SOURCE_UCR2010,SOURCE_UCR2011,SOURCE_UCR2012,SOURCE_NCIC2012,SOURCE_VENDOR
(06) California,1,562,06,001,06001,CA0010100,CA00101,ALAMEDA POLICE DEPARTMENT                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001001,ALAMEDA CITY                                      ,ALAMEDA POLICE DEPARTMENT                                                  ,1555 OAK STREET                        ,                                              ,ALAMEDA                   ,CA,94501,(1) ORI reported 1+ offenses,11098570,0520010010260100,(04) California,1,3 ,75467,73812,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,562,06,001,06001,CA0012900,CA00129,SPT ALAMEDA                                       ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(005) State law enforcement agency,(888) Not applicable,(888) Not applicable,50000000,State of California                               ,TRANSPORTATION                                                             ,                                       ,                                              ,CA                        ,CA,     ,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,9D,0,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,1,1,1,0,0
(06) California,1,674,06,001,06001,CA0010200,CA00102,ALBANY POLICE DEPARTMENT                          ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001002,ALBANY CITY                                       ,ALBANY POLICE DEPARTMENT                                                   ,1000 SAN PABLO AVENUE                  ,                                              ,ALBANY                    ,CA,94706,(1) ORI reported 1+ offenses,13621860,-1              ,(04) California,1,5 ,18960,18539,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,6000,06,001,06001,CA0010300,CA00103,BERKELEY POLICE DEPARTMENT                        ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001003,BERKELEY CITY                                     ,BERKELEY POLICE DEPARTMENT                                                 ,2100 MARTIN LUTHER KING JR. WAY        ,                                              ,BERKELEY                  ,CA,94704,(1) ORI reported 1+ offenses,13410240,0520010030260100,(04) California,1,2 ,114961,112580,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,6000,06,001,06001,CA0019700,CA00197,UNIVERSITY OF CALIFORNIA - BERKELEY POLICE        ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(001) Public buildings/facilities,(011) Four-year university,50000000,State of California                               ,UNIVERSITY OF CALIFORNIA - BERKELEY POLICE                                 ,1 SPROUL HALL                          ,                                              ,BERKELEY                  ,CA,94720,(1) ORI reported 1+ offenses,13756270,0500000000200300,(04) California,1,7 ,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,0
(06) California,1,6000,06,001,06001,CA0012700,CA00127,LAWRENCE BERKELEY LAB PD UNIV OF CA BERKELEY      ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(1) Part of larger agency,(006) Special jurisdiction,(001) Public buildings/facilities,(011) Four-year university,50000000,State of California                               ,UN OF CA:LAWRENCE BERKELEY LAB                                             ,                                       ,                                              ,BERKELEY                  ,CA,94720,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,7 ,0,888888888,(0) Exclude record,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,0,1,1,1,1,0
(06) California,1,11964,06,001,06001,CA0011400,CA00114,EAST BAY REGIONAL PARKS DISTRICT DEPT OF PUBLIC SA,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(006) Special jurisdiction,(002) Natural resources/parks and recreation,(022) Parks and recreational facilities,54001502,EAST BAY REGIONAL PARK DISTRICT                   ,EAST BAY REGIONAL PARKS DISTRICT DEPT OF PUBLIC SAFETY                     ,17930 LAKE CHABOT ROAD                 ,                                              ,CASTRO VALLEY             ,CA,94546,(1) ORI reported 1+ offenses,13632660,-1              ,(04) California,1,7 ,0,888888888,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,15                                                ,Northern District of California   ,1,1,1,1,1,0
(06) California,1,20018,06,001,06001,CA0013000,CA00130,DUBLIN POLICE DEPT                                ,19504,CALIFORNIA          ,ALAMEDA                          ,"Concord, CA Urbanized Area                               ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001601,DUBLIN CITY                                       ,DUBLIN POLICE DEPT                                                         ,100 CIVIC PLZ                          ,                                              ,DUBLIN                    ,CA,94568,(1) ORI reported 1+ offenses,-1,-1              ,(04) California,1,4 ,47004,46036,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,                                                  ,Northern District of California   ,0,1,1,1,0,1
(06) California,1,22594,06,001,06001,CA0010400,CA00104,EMERYVILLE POLICE DEPARTMENT                      ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001004,EMERYVILLE CITY                                   ,EMERYVILLE POLICE DEPARTMENT                                               ,2449 POWELL STREET                     ,                                              ,EMERYVILLE                ,CA,94608,(1) ORI reported 1+ offenses,13892480,-1              ,(04) California,1,5 ,10309,10080,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,13,                                                  ,Northern District of California   ,1,1,1,1,1,1
(06) California,1,26000,06,001,06001,CA0010500,CA00105,FREMONT POLICE DEPARTMENT                         ,78904,CALIFORNIA          ,ALAMEDA                          ,"San Francisco--Oakland, CA Urbanized Area                ",(0) Parent agency,(000) Local police department,(888) Not applicable,(888) Not applicable,52001005,FREMONT CITY                                      ,FREMONT POLICE DEPARTMENT                                                  ,2000 STEVENSON BOULEVARD               ,                                              ,FREMONT                   ,CA,94538,(1) ORI reported 1+ offenses,11638020,0520010050260100,(04) California,1,2 ,218927,214089,(1) Include record to appoximate CSLLEA,                                                                                                                                                                                                        ,37.648134,-121.913291,15,17                                                ,Northern District of California   ,1,1,1,1,1,1
