GEOID,County name,Percent of population that is foreign-born,Percent of adults (25 or older) who are not high-school graduates,Percent of population with income below 150 percent of poverty level,Percent of households receiving public assistance income,Percent of persons (ages 16 or older) unemployed,Percent limited-English households,Percent of persons who moved from outside county in past year,Total population,Hispanic_Latino,White,Black or African American,AIAN,Asian,NHPI,Some other race,Two or more races,Tract name,Incorporated (%),Unincorporated (%),Size (sq. mi.),Pop density,AD_overlapped,SD_overlapped,CD_overlapped,Census 2020 Region
06001400100,Alameda,25.7,2.7,6.8,0,1,0.7,8.6,3035,4.1,72.7,3.1,0,14,0,0.6,5.6,Census Tract 4001,Oakland (100.0),0,2.7,1132.8,AD-15,SD-9,CD-13,3
06001400200,Alameda,10.2,1.1,7,0,7.9,0,9.1,1983,8.2,67.2,2.2,0.3,11,0,0.4,10.6,Census Tract 4002,Oakland (100.0),0,0.2,8835.6,AD-15,SD-9,CD-13,3
06001400300,Alameda,17.4,4.5,8.6,1,3.4,5.3,11.7,5058,9.2,61,8.6,0.1,15.3,0.7,1.1,4.1,Census Tract 4003,Oakland (100.0),0,0.4,12833,AD-15,SD-9,CD-13,3
06001400400,Alameda,12.4,4.3,12,2.1,2.5,0,4.2,4179,11.3,64.5,6.7,0.6,10,0,0.1,6.7,Census Tract 4004,Oakland (100.0),0,0.3,14871.6,AD-15,SD-9,CD-13,3
06001400500,Alameda,18.8,2.6,12.8,3.6,6.4,0,6.5,4021,8.9,44.7,27.4,0,9.6,0,0,9.4,Census Tract 4005,Oakland (100.0),0,0.2,15958,AD-15,SD-9,CD-13,3
06001400600,Alameda,7.6,2.4,10.7,5.4,5.6,1,12.5,1812,7,43.9,28.1,0.4,9.1,0.6,2.1,8.9,Census Tract 4006,Oakland (100.0),0,0.1,15547.5,AD-15,SD-9,CD-13,3
06001400700,Alameda,14.8,4.9,22.5,6.3,6,3.5,11.8,5165,14.3,43.5,28.6,0.8,5.8,0,0,7,Census Tract 4007,Oakland (100.0),0,0.3,13486.2,AD-15,SD-9,CD-13,3
06001400800,Alameda,15.8,2.6,14.5,0.8,3.9,6.7,4.4,4001,4.5,49.7,20.6,0,16.5,0.1,0,8.6,Census Tract 4008,Oakland (100.0),0,0.3,13977.4,AD-15,SD-9,CD-13,3
06001400900,Alameda,17.1,8,14.2,2,5.1,8.4,3.4,2853,18.6,34.3,29,1.9,5,0,0,11.3,Census Tract 4009,Oakland (100.0),0,0.2,15969.4,AD-15,SD-9,CD-13,3
06001401000,Alameda,13.3,13.9,14.2,4.3,6.5,5.7,7,6057,14.9,35.3,27.2,0,8.1,1.6,0.3,12.7,Census Tract 4010,Oakland (100.0),0,0.4,13743.5,AD-15,SD-9,CD-13,3
06001401100,Alameda,16.4,5,20.4,4.3,6.1,3.1,9.9,4269,7.8,52.1,10.1,0,15.8,0.3,1.4,12.5,Census Tract 4011,Oakland (100.0),0,0.3,14727.4,AD-15,SD-9,CD-13,3
06001401200,Alameda,13.6,6.5,14.4,2.6,6.4,0.7,9.5,2654,9.5,63.8,11.9,0.1,10,0.6,0,4.1,Census Tract 4012,Oakland (100.0),0,0.3,11665.6,AD-15,SD-9,CD-13,3
06001401300,Alameda,23,10.3,24.6,2.4,5.8,8.4,12.4,3830,9.9,39,21.7,0.5,21.2,0,0.3,7.4,Census Tract 4013,Oakland (100.0),0,0.3,17690.6,"AD-15, AD-18",SD-9,CD-13,3
06001401400,Alameda,21.3,14.2,40.1,5.1,8.1,5.2,8.2,4895,20.1,26,31,0.8,12,0.2,0,9.8,Census Tract 4014,Oakland (100.0),0,0.3,18375.8,"AD-15, AD-18",SD-9,CD-13,3
06001401500,Alameda,13.8,10.6,26.1,2.8,8.8,5.1,18.7,2816,14.2,32.9,43.4,0,4.1,0.7,0,4.7,Census Tract 4015,Oakland (100.0),0,0.2,14734.6,"AD-15, AD-18",SD-9,CD-13,3
06001401600,Alameda,31.2,16.4,29.7,1.8,12,13.6,10.4,2223,35,17.5,32.5,0,7.8,1,0,6.2,Census Tract 4016,Oakland (100.0),0,0.2,12096.3,AD-18,SD-9,CD-13,3
06001401700,Alameda,15.8,5.7,20.8,3,6.8,3.6,12.3,3210,22,37.9,17.5,0,16.1,0.2,0.5,5.6,Census Tract 4017,Oakland (100.0),0,2.2,2756.4,AD-18,SD-9,CD-13,3
06001401800,Alameda,11.4,4,22.4,1,5.1,4.6,6.3,1730,23.1,33.5,35.5,0.2,4.1,0,0.8,2.8,Census Tract 4018,Oakland (100.0),0,0.1,17044.9,AD-18,SD-9,CD-13,3
06001402200,Alameda,20.4,9.3,27.4,12.4,7.2,9.7,5.6,2387,16,28.7,34,0.4,17.3,0,0,3.6,Census Tract 4022,Oakland (100.0),0,0.3,11762,AD-18,SD-9,CD-13,3
06001402400,Alameda,9.8,10.8,37.5,6.1,8.5,10.5,5,2401,5.5,22.1,55.6,0.7,11,0,0,5.2,Census Tract 4024,Oakland (100.0),0,0.1,18898,AD-18,SD-9,CD-13,3
06001402500,Alameda,11.4,12.7,46.2,9.7,12.6,1.8,2.1,1904,15.4,7.3,59.5,0,15.9,0,1.4,0.5,Census Tract 4025,Oakland (100.0),0,0.1,14245,AD-18,SD-9,CD-13,3
06001402600,Alameda,43,26.2,41,6.9,4.4,25.3,10.2,1255,14.5,10.6,25.8,0.3,38.8,0,0,10,Census Tract 4026,Oakland (100.0),0,0.1,9959,AD-18,SD-9,CD-13,3
06001402700,Alameda,18.1,12.2,27,11.7,2.3,8.2,10.4,1927,18.7,28,34.8,0.5,13.4,0,3,1.7,Census Tract 4027,Oakland (100.0),0,0.2,12220.4,AD-18,SD-9,CD-13,3
06001402801,Alameda,29.8,15.6,18.5,8.2,7.8,4.6,29.3,3321,7.8,31.8,36.9,0.4,16.3,0,0,6.8,Census Tract 4028.01,Oakland (100.0),0,0.1,26143.8,AD-18,SD-9,CD-13,3
06001402802,Alameda,19.1,21.4,65.1,8.1,17,19.2,13.8,1337,9.1,23.8,43.8,0,18,0,0,5.4,Census Tract 4028.02,Oakland (100.0),0,0,31741.5,AD-18,SD-9,CD-13,3
06001402900,Alameda,42.9,19.7,47.6,3.8,5.9,28.7,13.3,1486,10.8,23.1,12.7,0.1,47.1,0,2.6,3.6,Census Tract 4029,Oakland (100.0),0,0.2,12195.2,AD-18,SD-9,CD-13,3
06001403000,Alameda,71.3,32.4,45.6,9.3,9.9,48.4,1.1,2850,1.9,7.5,3.9,1.2,76.6,3.9,0.4,4.8,Census Tract 4030,Oakland (100.0),0,0.1,22100.6,AD-18,SD-9,CD-13,3
06001403100,Alameda,26,14.5,26.9,3.5,10.3,19.4,15.7,2077,17,29.6,20.5,0,28.6,0.7,0.3,3.3,Census Tract 4031,Oakland (100.0),0,0.1,12619.5,AD-18,SD-9,CD-13,3
06001403301,Alameda,59.6,35.4,57.2,2.9,15.3,50.5,2.8,1615,4.5,14.1,1.1,7.5,67.2,0,2,3.6,Census Tract 4033.01,Oakland (100.0),0,0.1,26335,AD-18,SD-9,CD-13,3
06001403302,Alameda,28.3,1.8,9.1,1,0,12.7,20.5,2389,10,41.6,4.6,0,34.1,0,0,9.8,Census Tract 4033.02,Oakland (100.0),0,0.3,11595.3,AD-18,SD-9,CD-13,3
06001403401,Alameda,27.1,9.1,26.5,0,5,17.2,13.7,2940,7.4,46,19.8,0.5,21.7,0.4,0,4.1,Census Tract 4034.01,Oakland (100.0),0,0.2,14281.4,AD-18,SD-9,CD-13,3
06001403402,Alameda,21.6,3.6,20.7,0,3.2,7.9,13.5,1405,13.5,26.1,25.8,0,26.5,2.9,0,5.1,Census Tract 4034.02,Oakland (100.0),0,0,39783.9,AD-18,SD-9,CD-13,3
06001403501,Alameda,28.1,5.5,25.3,1.6,5.3,17.3,14.4,4454,6.1,38.2,23.6,0.9,22.1,1.5,0,7.6,Census Tract 4035.01,Oakland (100.0),0,0.3,22734.5,"AD-15, AD-18",SD-9,CD-13,3
06001403502,Alameda,18.5,4.7,14.6,0,2.9,2.6,6.8,1902,17.4,46.4,19.3,0,7.4,0,0.9,8.6,Census Tract 4035.02,Oakland (100.0),0,0.1,30714,AD-18,SD-9,CD-13,3
06001403600,Alameda,27.6,6.4,19.4,2,4.7,2.7,9.8,5582,17.5,28.4,34.6,1.5,9.2,0,0.6,8.3,Census Tract 4036,Oakland (100.0),0,0.2,31100.9,AD-18,SD-9,CD-13,3
06001403701,Alameda,15.9,3.1,17.6,0.8,4.2,2.3,7.9,2776,10.6,45.1,20.3,0,15.3,0,3.2,5.4,Census Tract 4037.01,Oakland (100.0),0,0.1,41482.4,AD-18,SD-9,CD-13,3
06001403702,Alameda,16,4.2,18.7,3.7,3.3,2.7,6.9,1883,11,54.2,16.3,0,14.5,0,0.7,3.3,Census Tract 4037.02,Oakland (100.0),0,0.1,27955.4,AD-18,SD-9,CD-13,3
