FSTATE,FCOUNTY,FPLACE,FIPS_ST,FIPS_COUNTY,FIPS,ORI9,ORI7,NAME,UA,STATENAME,COUNTYNAME,UANAME,PARTOF,AGCYTYPE,SUBTYPE1,SUBTYPE2,GOVID,LG_NAME,ADDRESS_NAME,ADDRESS_STR1,ADDRESS_STR2,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,REPORT_FLAG,CSLLEA08_ID,LEMAS_ID,U_STATENO,U_CNTY,U_POPGRP,U_TPOP,LG_POPULATION,YEAR,HOMICIDES,HOMICIDES_ASIAN,HOMICIDES_BLACK,HOMICIDES_HISPANIC,HOMICIDES_NATIVE,HOMICIDES_PACIFIC,HOMICIDES_UNKNOWN,HOMICIDES_WHITE,POPULATION,MALE_OFFICERS,FEMALE_OFFICERS,OFFICERS,OFFICER_RATE,CENSUS_POPULATION,BELOW_POVERTY,BLACK_POPULATION,NATIVE_POPULATION,ASIAN_POPULATION,HISPANIC_POPULATION,WHITE_POPULATION,LAND_AREA
6,1,562,6,1,6001,CA0010100,CA00101,ALAMEDA POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001001,ALAMEDA CITY,ALAMEDA POLICE DEPARTMENT,1555 OAK STREET,NA,ALAMEDA,CA,94501,1,11098570,520010010260100,4,1,3,75467,73812,2013,0,0,0,0,0,0,0,0,75467,74,7,81,11,77223,6289,5379,308,24282,9199,32987,27481758
6,1,674,6,1,6001,CA0010200,CA00102,ALBANY POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001002,ALBANY CITY,ALBANY POLICE DEPARTMENT,1000 SAN PABLO AVENUE,NA,ALBANY,CA,94706,1,13621860,-1,4,1,5,18960,18539,2013,0,0,0,0,0,0,0,0,18960,24,1,25,13,19627,1854,475,172,5884,2461,9082,4631506
6,1,6000,6,1,6001,CA0010300,CA00103,BERKELEY POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001003,BERKELEY CITY,BERKELEY POLICE DEPARTMENT,2100 MARTIN LUTHER KING JR. WAY,NA,BERKELEY,CA,94704,1,13410240,520010030260100,4,1,2,114961,112580,2013,0,0,0,0,0,0,0,0,114961,136,35,171,15,108778,21756,9239,590,20023,11435,60859,27117763
6,1,22594,6,1,6001,CA0010400,CA00104,EMERYVILLE POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001004,EMERYVILLE CITY,EMERYVILLE POLICE DEPARTMENT,2449 POWELL STREET,NA,EMERYVILLE,CA,94608,1,13892480,-1,4,1,5,10309,10080,2013,0,0,0,0,0,0,0,0,10309,33,1,34,33,11723,1600,1614,42,3331,1251,4917,3226419
6,1,26000,6,1,6001,CA0010500,CA00105,FREMONT POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001005,FREMONT CITY,FREMONT POLICE DEPARTMENT,2000 STEVENSON BOULEVARD,NA,FREMONT,CA,94538,1,11638020,520010050260100,4,1,2,218927,214089,2013,1,0,0,0,0,0,1,0,218927,155,20,175,8,232275,11134,7112,1041,135910,30479,47892,200617968
6,1,33000,6,1,6001,CA0010600,CA00106,HAYWARD POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001006,HAYWARD CITY,HAYWARD POLICE DEPARTMENT,300 WEST WINTON AVENUE,NA,HAYWARD,CA,94544,1,13469640,520010060260100,4,1,2,147424,144186,2013,2,0,0,0,0,0,0,2,147424,158,21,179,12,155700,14524,15852,1139,40288,63731,25951,117386203
6,1,41992,6,1,6001,CA0010700,CA00107,LIVERMORE POLICE DEPARTMENT,50527,CALIFORNIA,ALAMEDA,"Livermore, CA Urbanized Area",0,0,888,888,52001007,LIVERMORE CITY,LIVERMORE POLICE DEPARTMENT,1110 S. LIVERMORE AVENUE,NA,LIVERMORE,CA,94550,1,13836880,520010070260100,4,1,3,82800,80968,2013,0,0,0,0,0,0,0,0,82800,75,7,82,10,88752,4077,1538,214,9891,17945,55569,65197580
6,1,50916,6,1,6001,CA0010800,CA00108,NEWARK POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001008,NEWARK CITY,NEWARK POLICE DEPARTMENT,37101 NEWARK BOULEVARD,NA,NEWARK,CA,94560,1,13940290,520010080260100,4,1,4,43539,42573,2013,0,0,0,0,0,0,0,0,43539,44,7,51,12,46219,2249,2236,254,15042,15434,11397,35935552
6,1,53000,6,1,6001,CA0010900,CA00109,OAKLAND POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001009,OAKLAND CITY,OAKLAND POLICE DEPARTMENT,455 SEVENTH STREET,NA,OAKLAND,CA,94607,1,13387330,520010090250100,4,1,NA,399487,390724,2013,1,0,1,0,0,0,0,0,399487,559,67,626,16,416457,73416,98348,3802,65444,111847,117471,144484543
6,1,56938,6,1,6001,CA0011000,CA00110,PIEDMONT POLICE DEPARTMENT,78904,CALIFORNIA,ALAMEDA,"San Francisco--Oakland, CA Urbanized Area",0,0,888,888,52001010,PIEDMONT CITY,PIEDMONT POLICE DEPARTMENT,403 HIGHLAND AVENUE,NA,PIEDMONT,CA,94611,1,13494040,520010100260100,4,1,5,10909,10667,2013,0,0,0,0,0,0,0,0,10909,16,3,19,17,11297,304,213,20,1915,403,8098,4344954
